,id,title,author,authoryearofbirth,authoryearofdeath,gr_pubDate,date,age,yearsToDeath
15,1112.0,The Tragedy of Romeo and Juliet,"Shakespeare, William",1564,1616,1595--,1595,31,21
20,1117.0,Second Part of King Henry IV,"Shakespeare, William",1564,1616,1597--,1597,33,19
30,1127.0,"The Tragedy of Othello, Moor of Venice","Shakespeare, William",1564,1616,1603--,1603,39,13
32,1129.0,The Tragedy of Macbeth,"Shakespeare, William",1564,1616,1606--,1606,42,10
41,1500.0,"King Henry VI, First Part","Shakespeare, William",1564,1616,1590--,1590,26,26
42,1501.0,"History of King Henry the Sixth, Second Part","Shakespeare, William",1564,1616,1590--,1590,26,26
43,1502.0,"The History of King Henry the Sixth, Third Part","Shakespeare, William",1564,1616,1591--,1591,27,25
44,1503.0,The Tragedy of King Richard III,"Shakespeare, William",1564,1616,1591--,1591,27,25
47,1506.0,The Rape of Lucrece,"Shakespeare, William",1564,1616,1594--,1594,30,22
53,1512.0,The Tragedy of King Richard the Second,"Shakespeare, William",1564,1616,1603--,1603,39,13
57,1516.0,"King Henry IV, the First Part","Shakespeare, William",1564,1616,1597--,1597,33,19
59,1518.0,"King Henry IV, Second Part","Shakespeare, William",1564,1616,1597--,1597,33,19
66,1525.0,The Phoenix and the Turtle,"Shakespeare, William",1564,1616,1601--,1601,37,15
68,1527.0,"Twelfth Night; Or, What You Will","Shakespeare, William",1564,1616,1601--,1601,37,15
83,1543.0,A Lover's Complaint,"Shakespeare, William",1564,1616,1609--,1609,45,7
92,1773.0,Two Gentlemen of Verona,"Shakespeare, William",1564,1616,1594--,1594,30,22
95,1776.0,King Richard II,"Shakespeare, William",1564,1616,1595--,1595,31,21
99,1780.0,"King Henry IV, Part 1","Shakespeare, William",1564,1616,1597--,1597,33,19
101,1782.0,"King Henry IV, Part 2","Shakespeare, William",1564,1616,1597--,1597,33,19
103,1784.0,King Henry V,"Shakespeare, William",1564,1616,1599-1-1,1599,35,17
107,1790.0,Troilus and Cressida,"Shakespeare, William",1564,1616,1602--,1602,38,14
121,2236.0,The Two Gentlemen of Verona,"Shakespeare, William",1564,1616,1594--,1594,30,22
122,2237.0,The Merry Wives of Windsor,"Shakespeare, William",1564,1616,1597--,1597,33,19
123,2238.0,Measure for Measure,"Shakespeare, William",1564,1616,1603--,1603,39,13
124,2239.0,The Comedy of Errors,"Shakespeare, William",1564,1616,1594--,1594,30,22
125,2240.0,Much Ado about Nothing,"Shakespeare, William",1564,1616,1598--,1598,34,18
126,2241.0,Love's Labour's Lost,"Shakespeare, William",1564,1616,1597--,1597,33,19
127,2242.0,A Midsummer Night's Dream,"Shakespeare, William",1564,1616,1595--,1595,31,21
128,2243.0,The Merchant of Venice,"Shakespeare, William",1564,1616,1596--,1596,32,20
129,2244.0,As You Like It,"Shakespeare, William",1564,1616,1599--,1599,35,17
130,2245.0,The Taming of the Shrew,"Shakespeare, William",1564,1616,1593--,1593,29,23
131,2246.0,All's Well That Ends Well,"Shakespeare, William",1564,1616,1602--,1602,38,14
132,2247.0,Twelfth Night,"Shakespeare, William",1564,1616,1601--,1601,37,15
133,2248.0,The Winter's Tale,"Shakespeare, William",1564,1616,1600-1-4,1600,36,16
134,2249.0,King John,"Shakespeare, William",1564,1616,1595--,1595,31,21
135,2250.0,Richard II,"Shakespeare, William",1564,1616,1595--,1595,31,21
136,2251.0,"Henry IV, Part 1","Shakespeare, William",1564,1616,1597--,1597,33,19
137,2252.0,"Henry IV, Part 2","Shakespeare, William",1564,1616,1597--,1597,33,19
138,2253.0,Henry V,"Shakespeare, William",1564,1616,1599-1-1,1599,35,17
139,2254.0,"Henry VI, Part 1","Shakespeare, William",1564,1616,1590--,1590,26,26
140,2255.0,"Henry VI, Part 2","Shakespeare, William",1564,1616,1590--,1590,26,26
141,2256.0,"Henry VI, Part 3","Shakespeare, William",1564,1616,1591--,1591,27,25
142,2257.0,Richard III,"Shakespeare, William",1564,1616,1591--,1591,27,25
143,2258.0,Henry VIII,"Shakespeare, William",1564,1616,1613--,1613,49,3
144,2259.0,Coriolanus,"Shakespeare, William",1564,1616,1605--,1605,41,11
145,2260.0,Titus Andronicus,"Shakespeare, William",1564,1616,1589--,1589,25,27
146,2261.0,Romeo and Juliet,"Shakespeare, William",1564,1616,1595--,1595,31,21
147,2262.0,Timon of Athens,"Shakespeare, William",1564,1616,1607--,1607,43,9
148,2263.0,Julius Caesar,"Shakespeare, William",1564,1616,1599-12-21,1599,35,17
149,2264.0,Macbeth,"Shakespeare, William",1564,1616,1606--,1606,42,10
150,2265.0,Hamlet,"Shakespeare, William",1564,1616,1600--,1600,36,16
151,2266.0,King Lear,"Shakespeare, William",1564,1616,1603--,1603,39,13
152,2267.0,Othello,"Shakespeare, William",1564,1616,1603--,1603,39,13
153,2268.0,Antony and Cleopatra,"Shakespeare, William",1564,1616,1606--,1606,42,10
154,2269.0,Cymbeline,"Shakespeare, William",1564,1616,1611--,1611,47,5
155,2270.0,Shakespeare's First Folio,"Shakespeare, William",1564,1616,1595--,1595,31,21
156,9077.0,"The Tragicall Historie of Hamlet, Prince of Denmarke: The First ('Bad') Quarto","Shakespeare, William",1564,1616,1603--,1603,39,13
157,10606.0,"The Tragedie of Hamlet, Prince of Denmark: A Study with the Text of the Folio of 1623","Shakespeare, William",1564,1616,1600--,1600,36,16
158,12578.0,"Shakespeare's play of the Merchant of Venice: Arranged for Representation at the Princess's Theatre, with Historical and Explanatory Notes by Charles Kean, F.S.A.","Shakespeare, William",1564,1616,1596--,1596,32,20
159,22791.0,King Henry the Fifth: Arranged for Representation at the Princess's Theatre,"Shakespeare, William",1564,1616,1599-1-1,1599,35,17
167,28334.0,The New Hudson Shakespeare: Julius Cæsar,"Shakespeare, William",1564,1616,1599-12-21,1599,35,17
0,9298.0,Life and Death of Harriett Frean,"Sinclair, May",1863,1946,1922--,1922,59,24
1,9366.0,Mary Olivier: a Life,"Sinclair, May",1863,1946,1919-1-1,1919,56,27
3,10817.0,Anne Severn and the Fieldings,"Sinclair, May",1863,1946,1922--,1922,59,24
4,11698.0,The Three Brontës,"Sinclair, May",1863,1946,1912--,1912,49,34
7,13522.0,Superseded,"Sinclair, May",1863,1946,1906--,1906,43,40
8,13883.0,The Tree of Heaven,"Sinclair, May",1863,1946,1917--,1917,54,29
9,13996.0,The Divine Fire,"Sinclair, May",1863,1946,1904--,1904,41,42
11,15722.0,The Tysons (Mr. and Mrs. Nevill Tyson),"Sinclair, May",1863,1946,1906--,1906,43,40
15,28461.0,The Combined Maze,"Sinclair, May",1863,1946,1913--,1913,50,33
16,28615.0,The Flaw in the Crystal,"Sinclair, May",1863,1946,1912--,1912,49,34
17,29766.0,Audrey Craven,"Sinclair, May",1863,1946,1897--,1897,34,49
18,31416.0,The Immortal Moment: The Story of Kitty Tailleur,"Sinclair, May",1863,1946,1908--,1908,45,38
1,43.0,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",1850,1894,1886-1-5,1886,36,8
5,329.0,Island Nights' Entertainments,"Stevenson, Robert Louis",1850,1894,1893--,1893,43,1
8,372.0,"Prince Otto, a Romance","Stevenson, Robert Louis",1850,1894,1885--,1885,35,9
11,381.0,Memories and Portraits,"Stevenson, Robert Louis",1850,1894,1887--,1887,37,7
15,421.0,Kidnapped,"Stevenson, Robert Louis",1850,1894,1886--,1886,36,8
16,425.0,Familiar Studies of Men and Books,"Stevenson, Robert Louis",1850,1894,1882--,1882,32,12
23,534.0,An Inland Voyage,"Stevenson, Robert Louis",1850,1894,1878--,1878,28,16
24,535.0,Travels with a Donkey in the Cevennes,"Stevenson, Robert Louis",1850,1894,1879--,1879,29,15
25,589.0,Catriona,"Stevenson, Robert Louis",1850,1894,1893--,1893,43,1
26,614.0,"Across the Plains, with Other Memories and Essays","Stevenson, Robert Louis",1850,1894,1892--,1892,42,2
34,839.0,New Arabian Nights,"Stevenson, Robert Louis",1850,1894,1882--,1882,32,12
35,848.0,The Black Arrow: A Tale of Two Roses,"Stevenson, Robert Louis",1850,1894,1888--,1888,38,6
36,864.0,The Master of Ballantrae: A Winter's Tale,"Stevenson, Robert Louis",1850,1894,1889--,1889,39,5
37,1604.0,The Ebb-Tide: A Trio And Quartette,"Stevenson, Robert Louis",1850,1894,1894--,1894,44,0
41,14133.0,"David Balfour: Being Memoirs Of His Adventures At Home And Abroad, The Second Part: In Which Are Set Forth His Misfortunes Anent The Appin Murder; His Troubles With Lord Advocate Grant; Captivity On The Bass Rock; Journey Into Holland And France; And Singular Relations With James More Drummond Or Macgregor, A Son Of The Notorious Rob Roy, And His Daughter Catriona","Stevenson, Robert Louis",1850,1894,1893--,1893,43,1
51,27780.0,Treasure Island,"Stevenson, Robert Louis",1850,1894,1882-1-28,1882,32,12
52,28722.0,A Child's Garden of Verses,"Stevenson, Robert Louis",1850,1894,1885--,1885,35,9
0,599.0,Vanity Fair,"Thackeray, William Makepeace",1811,1863,1847--,1847,36,16
1,897.0,The Rose and the Ring,"Thackeray, William Makepeace",1811,1863,1855--,1855,44,8
2,1462.0,Some Roundabout Papers,"Thackeray, William Makepeace",1811,1863,1863--,1863,52,0
3,1933.0,"The History of Samuel Titmarsh, and The Great Hoggarty Diamond","Thackeray, William Makepeace",1811,1863,1848--,1848,37,15
4,1935.0,The Tremendous Adventures of Major Gahagan,"Thackeray, William Makepeace",1811,1863,1855--,1855,44,8
5,1969.0,Catherine: A Story,"Thackeray, William Makepeace",1811,1863,1840--,1840,29,23
6,1985.0,Men's Wives,"Thackeray, William Makepeace",1811,1863,1852--,1852,41,11
7,1990.0,The Bedford-Row Conspiracy,"Thackeray, William Makepeace",1811,1863,1856--,1856,45,7
9,2608.0,Roundabout Papers,"Thackeray, William Makepeace",1811,1863,1863--,1863,52,0
13,2686.0,The Book of Snobs,"Thackeray, William Makepeace",1811,1863,1848--,1848,37,15
19,2823.0,The Fitz-Boodle Papers,"Thackeray, William Makepeace",1811,1863,1850--,1850,39,13
23,4558.0,Barry Lyndon,"Thackeray, William Makepeace",1811,1863,1844--,1844,33,19
24,7265.0,The History of Pendennis,"Thackeray, William Makepeace",1811,1863,1848--,1848,37,15
0,4996.0,Number Seventeen,"Tracy, Louis",1863,1928,1915--,1915,52,13
1,8596.0,The Wheel O' Fortune,"Tracy, Louis",1863,1928,1907--,1907,44,21
2,10110.0,The Postmaster's Daughter,"Tracy, Louis",1863,1928,1916--,1916,53,12
5,19649.0,The Captain of the Kansas,"Tracy, Louis",1863,1928,1907--,1907,44,21
6,19707.0,One Wonderful Night: A Romance of New York,"Tracy, Louis",1863,1928,1912--,1912,49,16
8,25017.0,A Son of the Immortals,"Tracy, Louis",1863,1928,1909--,1909,46,19
9,26447.0,The Strange Case of Mortimer Fenley,"Tracy, Louis",1863,1928,1915-5-10,1915,52,13
10,31472.0,Cynthia's Chauffeur,"Tracy, Louis",1863,1928,1910--,1910,47,18
11,31635.0,The Silent Barrier,"Tracy, Louis",1863,1928,1911--,1911,48,17
12,31949.0,The Bartlett Mystery,"Tracy, Louis",1863,1928,1919--,1919,56,9
13,33622.0,The Day of Wrath: A Story of 1914,"Tracy, Louis",1863,1928,1916--,1916,53,12
14,34134.0,The Great Mogul,"Tracy, Louis",1863,1928,1905--,1905,42,23
16,35074.0,His Unknown Wife,"Tracy, Louis",1863,1928,1916--,1916,53,12
19,36478.0,The Red Year: A Story of the Indian Mutiny,"Tracy, Louis",1863,1928,1907--,1907,44,21
21,40493.0,The King of Diamonds: A Tale of Mystery and Adventure,"Tracy, Louis",1863,1928,1904-1-1,1904,41,24
22,40912.0,The Pillar of Light,"Tracy, Louis",1863,1928,1904-5-,1904,41,24
24,46178.0,Flower of the Gorse,"Tracy, Louis",1863,1928,1915-7-1,1915,52,13
0,619.0,The Warden,"Trollope, Anthony",1815,1882,1855--,1855,40,27
1,814.0,Hunting Sketches,"Trollope, Anthony",1815,1882,1865--,1865,50,17
2,2158.0,The Prime Minister,"Trollope, Anthony",1815,1882,1876--,1876,61,6
4,2860.0,Framley Parsonage,"Trollope, Anthony",1815,1882,1861-4-,1861,46,21
5,3045.0,The Last Chronicle of Barset,"Trollope, Anthony",1815,1882,1867--,1867,52,15
6,3166.0,Doctor Thorne,"Trollope, Anthony",1815,1882,1858--,1858,43,24
7,3409.0,Barchester Towers,"Trollope, Anthony",1815,1882,1857--,1857,42,25
8,3550.0,La Mere Bauche: From Tales of All Countries,"Trollope, Anthony",1815,1882,1861--,1861,46,21
9,3615.0,"John Bull on the Guadalquivir: From ""Tales from All Countries""","Trollope, Anthony",1815,1882,1860-11-24,1860,45,22
10,3616.0,"The O'Conors of Castle Conor, County Mayo: From ""Tales from All Countries""","Trollope, Anthony",1815,1882,1864-5-8,1864,49,18
11,3622.0,The Duke's Children,"Trollope, Anthony",1815,1882,1880--,1880,65,2
13,3700.0,The Courtship of Susan Bell,"Trollope, Anthony",1815,1882,1860-8-,1860,45,22
14,3710.0,An Unprotected Female at the Pyramids,"Trollope, Anthony",1815,1882,1860-10-13,1860,45,22
15,3711.0,The Relics of General Chasse: A Tale of Antwerp,"Trollope, Anthony",1815,1882,1860-2-,1860,45,22
16,3712.0,The Chateau of Prince Polignac,"Trollope, Anthony",1815,1882,1860-10-20,1860,45,22
17,3713.0,Aaron Trow,"Trollope, Anthony",1815,1882,1861-12-,1861,46,21
18,3716.0,Mrs. General Talboys,"Trollope, Anthony",1815,1882,1864-10-19,1864,49,18
19,3717.0,The Parson's Daughter of Oxney Colne,"Trollope, Anthony",1815,1882,1861-3-2,1861,46,21
20,3718.0,George Walker at Suez,"Trollope, Anthony",1815,1882,1861--,1861,46,21
23,3723.0,A Ride Across Palestine,"Trollope, Anthony",1815,1882,1861--,1861,46,21
24,3724.0,"The House of Heine Brothers, in Munich","Trollope, Anthony",1815,1882,1864-6-6,1864,49,18
25,3767.0,The Man Who Kept His Money in a Box,"Trollope, Anthony",1815,1882,1864-7-9,1864,49,18
26,4599.0,The Small House at Allington,"Trollope, Anthony",1815,1882,1864--,1864,49,18
27,4917.0,The Kellys and the O'Kellys,"Trollope, Anthony",1815,1882,1848--,1848,33,34
28,4969.0,The Belton Estate,"Trollope, Anthony",1815,1882,1866--,1866,51,16
29,5118.0,The American Senator,"Trollope, Anthony",1815,1882,1877--,1877,62,5
30,5140.0,He Knew He Was Right,"Trollope, Anthony",1815,1882,1869--,1869,54,13
31,5202.0,The Golden Lion of Granpere,"Trollope, Anthony",1815,1882,1871-3-11,1871,56,11
32,5231.0,The Way We Live Now,"Trollope, Anthony",1815,1882,1875--,1875,60,7
33,5642.0,Harry Heathcote of Gangoil: A Tale of Australian Bush-Life,"Trollope, Anthony",1815,1882,1874--,1874,59,8
34,5709.0,La Vendée,"Trollope, Anthony",1815,1882,1850--,1850,35,32
35,5897.0,Castle Richmond,"Trollope, Anthony",1815,1882,1860--,1860,45,22
37,7381.0,The Eustace Diamonds,"Trollope, Anthony",1815,1882,1873--,1873,58,9
38,7481.0,The Three Clerks,"Trollope, Anthony",1815,1882,1858--,1858,43,24
39,8897.0,Nina Balatka,"Trollope, Anthony",1815,1882,1867-1-,1867,52,15
40,11643.0,John Caldigate,"Trollope, Anthony",1815,1882,1879--,1879,64,3
42,15766.0,The Claverings,"Trollope, Anthony",1815,1882,1867--,1867,52,15
44,18000.0,Phineas Finn: The Irish Member,"Trollope, Anthony",1815,1882,1868--,1868,53,14
45,18640.0,Phineas Redux,"Trollope, Anthony",1815,1882,1873--,1873,58,9
47,19500.0,Can You Forgive Her?,"Trollope, Anthony",1815,1882,1865--,1865,50,17
48,21847.0,Dr. Wortle's School,"Trollope, Anthony",1815,1882,1879--,1879,64,3
49,22000.0,Kept in the Dark,"Trollope, Anthony",1815,1882,1882--,1882,67,0
50,23000.0,Orley Farm,"Trollope, Anthony",1815,1882,1862--,1862,47,20
51,24000.0,Miss Mackenzie,"Trollope, Anthony",1815,1882,1865--,1865,50,17
52,24103.0,Cousin Henry,"Trollope, Anthony",1815,1882,1879--,1879,64,3
54,25579.0,Ralph the Heir,"Trollope, Anthony",1815,1882,1871-7-,1871,56,11
55,26001.0,The Bertrams,"Trollope, Anthony",1815,1882,1859--,1859,44,23
56,26002.0,Linda Tressel,"Trollope, Anthony",1815,1882,1868--,1868,53,14
57,26541.0,The Vicar of Bullhampton,"Trollope, Anthony",1815,1882,1870--,1870,55,12
58,27067.0,The Fixed Period,"Trollope, Anthony",1815,1882,1882--,1882,67,0
59,27533.0,"The Struggles of Brown, Jones, and Robinson: By One of the Firm","Trollope, Anthony",1815,1882,1862--,1862,47,20
60,27712.0,Sir Harry Hotspur of Humblethwaite,"Trollope, Anthony",1815,1882,1870-12-,1870,55,12
61,29000.0,The Macdermots of Ballycloran,"Trollope, Anthony",1815,1882,1847--,1847,32,35
62,29828.0,Is He Popenjoy?,"Trollope, Anthony",1815,1882,1878--,1878,63,4
63,30100.0,Marion Fay: A Novel,"Trollope, Anthony",1815,1882,1882--,1882,67,0
65,31274.0,Lady Anna,"Trollope, Anthony",1815,1882,1874--,1874,59,8
66,33500.0,Ayala's Angel,"Trollope, Anthony",1815,1882,1881--,1881,66,1
67,34000.0,Rachel Ray,"Trollope, Anthony",1815,1882,1863--,1863,48,19
68,44992.0,Travelling Sketches,"Trollope, Anthony",1815,1882,1866--,1866,51,16
0,11236.0,Old Ballads,Various,,,2004-2-1,2004,,
1,13971.0,The Fifteen Comforts of Matrimony: Responses from Men,Various,,,2010-1-1,2010,,
2,13972.0,The Fifteen Comforts of Matrimony: Responses From Women,Various,,,2010-1-1,2010,,
4,18909.0,"Poems Teachers Ask For: Selected by readers of ""Normal Instructor-Primary Plans""",Various,,,2011-3-24,2011,,
5,19469.0,"Poems Teachers Ask For, Book Two",Various,,,2011-3-30,2011,,
7,22668.0,Poems of To-Day: an Anthology,Various,,,2008-2-12,2008,,
11,33428.0,"Stevensoniana: Being a Reprint of Various Literary and Pictorial Miscellany Associated with Robert Louis Stevenson, the Man and His Work",Various,,,2011-3-24,2011,,
12,33681.0,Poems of the Great War: Published on the Behalf of the Prince of Wales's National Relief Fund,Various,,,2011-3-24,2011,,
19,40048.0,"The Newcastle Song Book; or, Tyne-Side Songster: Being a Collection of Comic and Satirical Songs, Descriptive of Eccentric Characters, and the Manners and Customs of a Portion of the Labouring Population of Newcastle and the Neighbourhood",Various,,,2012-6-20,2012,,
0,1327.0,Elizabeth and Her German Garden,"Von Arnim, Elizabeth",1866,1941,1898--,1898,32,43
1,5991.0,The Solitary Summer,"Von Arnim, Elizabeth",1866,1941,1899--,1899,33,42
3,13141.0,The Princess Priscilla's Fortnight,"Von Arnim, Elizabeth",1866,1941,1905--,1905,39,36
4,14646.0,Christopher and Columbus,"Von Arnim, Elizabeth",1866,1941,1919--,1919,53,22
5,16389.0,The Enchanted April,"Von Arnim, Elizabeth",1866,1941,1922--,1922,56,19
6,30302.0,The Benefactress,"Von Arnim, Elizabeth",1866,1941,1901--,1901,35,40
7,33762.0,The Adventures of Elizabeth in Rügen,"Von Arnim, Elizabeth",1866,1941,1904--,1904,38,37
10,35282.0,Fräulein Schmidt and Mr. Anstruther,"Von Arnim, Elizabeth",1866,1941,1907--,1907,41,34
0,2688.0,The Clue of the Twisted Candle,"Wallace, Edgar",1875,1932,1916--,1916,41,16
1,20912.0,The Daffodil Mystery,"Wallace, Edgar",1875,1932,1920--,1920,45,12
3,24450.0,Bones: Being Further Adventures in Mr. Commissioner Sanders' Country,"Wallace, Edgar",1875,1932,1915--,1915,40,17
4,24767.0,Jack O' Judgment,"Wallace, Edgar",1875,1932,1920--,1920,45,12
5,24929.0,The Green Rust,"Wallace, Edgar",1875,1932,1919--,1919,44,13
6,24933.0,The Man Who Knew,"Wallace, Edgar",1875,1932,1918--,1918,43,14
7,25803.0,The Keepers of the King's Peace,"Wallace, Edgar",1875,1932,1917--,1917,42,15
8,26176.0,The Secret House,"Wallace, Edgar",1875,1932,1917--,1917,42,15
9,27525.0,Bones in London,"Wallace, Edgar",1875,1932,1921--,1921,46,11
10,35545.0,Sanders of the River,"Wallace, Edgar",1875,1932,1911--,1911,36,21
1,301.0,The Ballad of Reading Gaol,"Wilde, Oscar",1854,1900,1898--,1898,44,2
3,774.0,Essays and Lectures,"Wilde, Oscar",1854,1900,1879--,1879,25,21
4,790.0,Lady Windermere's Fan,"Wilde, Oscar",1854,1900,1893--,1893,39,7
6,854.0,A Woman of No Importance,"Wilde, Oscar",1854,1900,1894--,1894,40,6
7,873.0,A House of Pomegranates,"Wilde, Oscar",1854,1900,1891--,1891,37,9
9,885.0,An Ideal Husband,"Wilde, Oscar",1854,1900,1893-4-1,1893,39,7
11,902.0,"The Happy Prince, and Other Tales","Wilde, Oscar",1854,1900,1888--,1888,34,12
17,1338.0,Selected Prose of Oscar Wilde,"Wilde, Oscar",1854,1900,1900--,1900,46,0
22,14522.0,The Canterville Ghost,"Wilde, Oscar",1854,1900,1887-5-29,1887,33,13
23,23229.0,For Love of the King: A Burmese Masque,"Wilde, Oscar",1854,1900,1894--,1894,40,6
24,26494.0,"Vera; Or, The Nihilists","Wilde, Oscar",1854,1900,1880--,1880,26,20
25,26740.0,The Picture of Dorian Gray,"Wilde, Oscar",1854,1900,1891--,1891,37,9
26,30120.0,The Happy Prince and Other Tales,"Wilde, Oscar",1854,1900,1888--,1888,34,12
29,42704.0,Salomé: A Tragedy in One Act,"Wilde, Oscar",1854,1900,1891--,1891,37,9
0,6304.0,Without Prejudice,"Zangwill, Israel",1864,1926,1896--,1896,32,30
2,16408.0,The Grey Wig: Stories and Novelettes,"Zangwill, Israel",1864,1926,1903--,1903,39,23
3,20078.0,Merely Mary Ann,"Zangwill, Israel",1864,1926,1893--,1893,29,33
5,28164.0,The Big Bow Mystery,"Zangwill, Israel",1864,1926,1891--,1891,27,35
6,28982.0,Ghetto Comedies,"Zangwill, Israel",1864,1926,1907--,1907,43,19
7,29875.0,Dreamers of the Ghetto,"Zangwill, Israel",1864,1926,1898--,1898,34,28
8,35076.0,Ghetto Tragedies,"Zangwill, Israel",1864,1926,1899--,1899,35,27
9,35238.0,The Grandchildren of the Ghetto,"Zangwill, Israel",1864,1926,1892--,1892,28,34
